467,442,635,449,634,484,466,477
435,486,718,549,667,776,385,713
394,884,421,884,421,903,394,903
423,884,509,898,505,919,420,906
657,895,731,886,733,904,659,914
619,897,656,897,656,914,619,914
511,899,571,899,571,917,511,917
573,901,617,901,617,919,573,919
375,907,408,910,407,927,373,923
410,914,485,918,484,936,409,932
648,919,685,919,685,936,648,936
617,921,643,921,643,939,617,939
535,923,615,923,615,939,535,939
428,1004,631,1012,629,1057,426,1049
410,1051,443,1051,443,1075,410,1075
448,1056,502,1062,499,1088,444,1081
504,1062,540,1062,540,1091,504,1091
540,1062,648,1062,648,1089,540,1089
471,1106,580,1109,579,1132,471,1129
461,1191,528,1198,526,1218,459,1212
531,1201,577,1201,577,1216,531,1216
491,1215,548,1220,546,1246,489,1242
426,1266,494,1274,490,1300,423,1291
525,1278,605,1272,607,1296,527,1301
496,1278,522,1278,522,1298,496,1298
