974,44,1009,44,1009,68,974,68
870,48,967,48,967,68,870,68
528,119,554,118,557,217,531,218
418,182,568,182,568,522,418,522
436,555,458,555,458,590,436,590
462,555,485,555,485,606,462,606
385,557,405,557,405,643,385,643
412,557,432,557,432,623,412,623
493,555,590,555,590,862,493,862
438,586,458,586,458,623,438,623
467,608,485,608,485,643,467,643
411,624,432,623,434,780,414,780
438,623,460,623,460,701,438,701
464,644,486,642,489,694,467,695
385,645,407,645,407,714,385,714
467,696,489,696,489,787,467,787
440,701,462,701,462,773,440,773
388,714,407,714,407,784,388,784
440,778,462,778,462,945,440,945
414,780,436,780,436,1047,414,1047
467,789,489,789,489,903,467,903
388,791,407,791,407,846,388,846
388,848,407,848,407,903,388,903
544,853,590,853,590,994,544,994
497,862,548,861,553,1053,502,1054
468,901,491,901,495,1097,471,1098
383,908,407,908,407,989,383,989
443,948,465,948,465,1082,443,1082
388,992,410,992,410,1078,388,1078
416,1047,438,1047,438,1106,416,1106
532,1120,557,1119,562,1254,537,1255
536,1285,566,1284,569,1364,539,1365
