469,533,520,533,520,595,469,595
513,535,537,535,537,588,513,588
535,537,555,537,555,590,535,590
551,537,606,537,606,597,551,597
423,548,451,548,451,597,423,597
445,548,469,548,469,597,445,597
451,615,493,615,493,709,451,709
491,617,522,617,522,703,491,703
535,612,601,612,601,709,535,709
597,621,654,621,654,714,597,714
412,623,458,623,458,716,412,716
368,634,421,634,421,725,368,725
645,663,694,663,694,725,645,725
499,730,529,728,535,819,505,821
546,729,575,729,575,815,546,815
524,731,553,731,553,809,524,809
423,731,462,731,462,835,423,835
458,734,489,734,489,822,458,822
480,734,509,734,509,822,480,822
571,734,601,734,601,817,571,817
377,736,432,736,432,855,377,855
606,735,662,746,646,833,590,822
649,751,674,756,659,833,634,828
350,1258,374,1258,374,1285,350,1285
370,1261,392,1261,392,1287,370,1287
396,1263,418,1263,418,1287,396,1287
425,1265,471,1265,471,1296,425,1296
474,1265,502,1265,502,1296,474,1296
498,1267,546,1267,546,1296,498,1296
606,1267,654,1267,654,1298,606,1298
656,1267,679,1267,679,1296,656,1296
551,1269,568,1269,568,1294,551,1294
564,1269,582,1269,582,1294,564,1294
577,1269,599,1269,599,1296,577,1296
