644,590,702,609,691,644,633,625
528,605,576,605,576,643,528,643
573,607,605,607,605,643,573,643
598,609,618,609,618,641,598,641
486,614,535,614,535,648,486,648
684,612,747,612,747,668,684,668
443,625,486,625,486,661,443,661
740,623,780,623,780,684,740,684
643,632,675,632,675,654,643,654
407,814,441,814,441,830,407,830
438,814,452,814,452,832,438,832
456,830,470,830,470,850,456,850
393,832,407,832,407,848,393,848
405,832,425,832,425,846,405,846
423,832,456,832,456,848,423,848
416,1005,452,1005,452,1014,416,1014
427,1107,450,1107,450,1120,427,1120
461,1107,481,1107,481,1116,461,1116
391,1109,427,1109,427,1120,391,1120
418,1120,438,1120,438,1134,418,1134
436,1120,459,1120,459,1131,436,1131
